,product_name,price_in_rupees,availability,link
10,Zoroy Luxury Chocolate Mother's Day Leather Chest Hamper Fudges  (1200 g),2999,available,https://flipkart.com/zoroy-luxury-chocolate-mother-s-day-leather-chest-hamper-fudges/p/itmf4tnzteqj7kfn?pid=CHCF4SP7BZGEUHNQ&lid=LSTCHCF4SP7BZGEUHNQXPPSHT&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_6&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCF4SP7BZGEUHNQ.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
11,Patchi Finest Milk Chocolate Imported 160g Truffles  (160 g),2990,available,https://flipkart.com/patchi-finest-milk-chocolate-imported-160g-truffles/p/itm2302dec982279?pid=CHCGFZYHFHZKHYK5&lid=LSTCHCGFZYHFHZKHYK5YJUERM&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_7&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCGFZYHFHZKHYK5.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
12,Kinder Bueno Bars  (30 x 45 g),2899,available,https://flipkart.com/kinder-bueno-bars/p/itm2870bfa3e8023?pid=CHCFX6ZPWYWYH4AW&lid=LSTCHCFX6ZPWYWYH4AW4J38BX&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_8&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFX6ZPWYWYH4AW.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
13,Cadbury Heroes Word-Dash Games Edition Chocolates Tub 819g Bars  (819 g),2850,available,https://flipkart.com/cadbury-heroes-word-dash-games-chocolates-tub-819g-bars/p/itm03efcf999ecdb?pid=CHCFZPFDFKGU3GX7&lid=LSTCHCFZPFDFKGU3GX79B4WCL&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_9&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFZPFDFKGU3GX7.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
14,Zoroy Luxury Chocolate Mother's Day Leather Hamper Tray Fudges  (1200 g),2799,available,https://flipkart.com/zoroy-luxury-chocolate-mother-s-day-leather-hamper-tray-fudges/p/itmf4tnzdwvzsswp?pid=CHCF4SP7DHXXDBVG&lid=LSTCHCF4SP7DHXXDBVGKOA30T&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_11&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCF4SP7DHXXDBVG.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
15,Zoroy Luxury Chocolate Diwali Wooden 4 bolt gift box with 15 signature Chocolates Fudges  (175 g),2799,available,https://flipkart.com/zoroy-luxury-chocolate-diwali-wooden-4-bolt-gift-box-15-signature-chocolates-fudges/p/itmf98qpzwemxn4r?pid=CHCF97P6PPY6EFEY&lid=LSTCHCF97P6PPY6EFEYZ2XMBK&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_12&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCF97P6PPY6EFEY.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
16,Zoroy Luxury Chocolate Christmas Eco friendly Jute Hamper Box Fudges  (600 g),2758,available,https://flipkart.com/zoroy-luxury-chocolate-christmas-eco-friendly-jute-hamper-box-fudges/p/itmfbkhywmgbdpjx?pid=CHCFBJXCYTADYFZ6&lid=LSTCHCFBJXCYTADYFZ6MPIHBF&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_13&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFBJXCYTADYFZ6.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
17,FERRERO ROCHER Pack Of 16 Chocolates ( Set Of 5 ) Bars  (5 x 1 Units),2645,available,https://flipkart.com/ferrero-rocher-pack-16-chocolates-set-5-bars/p/itm7a4dc0b8509e0?pid=CHCFMG5BFMMGZQJZ&lid=LSTCHCFMG5BFMMGZQJZDAYNSE&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_14&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFMG5BFMMGZQJZ.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
18,Zoroy Luxury Chocolate Valentines day World Map Box with 18 chocolates Fudges  (175 g),2599,available,https://flipkart.com/zoroy-luxury-chocolate-valentines-day-world-map-box-18-chocolates-fudges/p/itmfcye2x25hzufe?pid=CHCFBYHQKFMDPGFH&lid=LSTCHCFBYHQKFMDPGFHCIOMFJ&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_15&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFBYHQKFMDPGFH.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
19,Zoroy Luxury Chocolate Valentines Glossy Box of chocolate Hearts and Pralines Fudges  (175 g),2599,available,https://flipkart.com/zoroy-luxury-chocolate-valentines-glossy-box-hearts-pralines-fudges/p/itmfcye2hg57vnyj?pid=CHCFBYHQCQTXDERY&lid=LSTCHCFBYHQCQTXDERYYGQSH0&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_16&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFBYHQCQTXDERY.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
